降序,省份,城市,综合指数,最大指数,首要污染物
1.0,河北,保定,11.34,3.4,PM2.5
2.0,河北,邢台,11.3,3.47,PM2.5
3.0,山东,淄博,10.67,2.7,PM2.5
4.0,河北,石家庄,10.54,3.33,PM2.5
5.0,河北,唐山,10.25,2.86,PM2.5
6.0,河北,邯郸,9.96,3.2,PM2.5
7.0,河南,安阳,9.52,2.78,PM2.5
8.0,河北,衡水,9.49,3.03,PM2.5
9.0,山东,临沂,9.38,2.66,PM2.5
10.0,山东,济南,9.19,2.52,PM2.5
11.0,山东,德州,8.95,2.99,PM2.5
12.0,山东,聊城,8.91,2.82,PM2.5
13.0,山东,菏泽,8.79,2.84,PM2.5
14.0,山东,济宁,8.79,2.52,PM2.5
15.0,河北,廊坊,8.78,2.81,PM2.5
16.0,山东,枣庄,8.66,2.52,PM2.5
17.0,四川,眉山,8.64,4.29,PM2.5
18.0,山东,东营,8.57,2.21,PM2.5
19.0,山东,滨州,8.38,2.43,PM2.5
20.0,天津,天津,8.32,2.47,PM2.5
21.0,河南,焦作,8.29,2.27,PM2.5
22.0,四川,内江,8.28,4.06,PM2.5
23.0,河南,郑州,8.27,2.52,PM2.5
24.0,河南,新乡,8.14,2.32,PM2.5
25.0,江西,宜春,8.13,2.69,PM2.5
26.0,山东,潍坊,8.05,2.23,PM2.5
27.0,山西,阳泉,8.04,2.26,PM10
28.0,河南,平顶山,8.03,2.51,PM2.5
29.0,河南,许昌,7.99,2.37,PM2.5
30.0,河北,沧州,7.98,2.52,PM2.5
31.0,河南,驻马店,7.95,2.46,PM2.5
32.0,湖北,荆州,7.82,2.53,PM2.5
33.0,河南,濮阳,7.81,2.35,PM2.5
34.0,四川,资阳,7.8,3.37,PM2.5
35.0,北京,北京,7.8,2.42,PM2.5
36.0,四川,广安,7.77,3.34,PM2.5
37.0,河南,周口,7.74,2.34,PM2.5
38.0,四川,达州,7.74,3.74,PM2.5
39.0,河南,三门峡,7.69,2.16,PM2.5
40.0,辽宁,沈阳,7.67,2.01,PM2.5
41.0,四川,遂宁,7.6,3.51,PM2.5
42.0,山东,泰安,7.59,2.18,PM2.5
43.0,河南,洛阳,7.57,2.13,PM2.5
44.0,湖北,宜昌,7.49,2.64,PM2.5
45.0,陕西,西安,7.46,2.13,PM2.5
46.0,山西,太原,7.36,1.95,PM2.5
47.0,河南,漯河,7.33,2.27,PM2.5
48.0,河南,鹤壁,7.32,2.02,PM2.5
49.0,湖北,武汉,7.31,2.3,PM2.5
50.0,河南,开封,7.3,2.39,PM2.5
51.0,新疆,乌鲁木齐,7.28,2.16,PM10
52.0,湖北,随州,7.24,2.57,PM10
53.0,河南,南阳,7.23,2.48,PM2.5
54.0,内蒙古,包头,7.22,2.05,PM10
55.0,河北,秦皇岛,7.06,1.7,PM2.5
56.0,江苏,南京,7.03,2.11,PM2.5
57.0,辽宁,锦州,6.95,1.81,PM2.5
58.0,黑龙江,哈尔滨,6.93,2.04,PM2.5
59.0,河南,信阳,6.92,2.32,PM2.5
60.0,河南,商丘,6.91,2.2,PM2.5
61.0,陕西,渭南,6.83,2.11,PM2.5
62.0,陕西,铜川,6.8,1.9,PM2.5
63.0,辽宁,葫芦岛,6.78,1.58,PM2.5
64.0,四川,成都,6.73,2.08,PM2.5
65.0,陕西,咸阳,6.69,2.02,PM2.5
66.0,江苏,徐州,6.67,1.92,PM2.5
67.0,四川,乐山,6.65,2.97,PM2.5
68.0,陕西,宝鸡,6.61,1.98,PM2.5
69.0,内蒙古,呼和浩特,6.59,1.66,PM10
70.0,江苏,常州,6.59,1.9,PM2.5
71.0,山西,长治,6.59,1.89,PM2.5
72.0,江苏,无锡,6.56,1.92,PM2.5
73.0,山西,临汾,6.55,1.77,PM2.5
74.0,湖南,湘潭,6.48,2.04,PM2.5
75.0,吉林,长春,6.41,1.87,PM2.5
76.0,浙江,绍兴,6.4,1.8,PM2.5
77.0,江苏,宿迁,6.36,1.96,PM2.5
78.0,江苏,镇江,6.35,1.92,PM2.5
79.0,山西,吕梁,6.3,3.08,SO2
80.0,湖南,株洲,6.25,2.04,PM2.5
81.0,湖北,咸宁,6.23,2.64,PM10
82.0,江苏,苏州,6.21,1.89,PM2.5
83.0,山东,日照,6.19,1.79,PM2.5
84.0,河北,承德,6.18,1.55,PM10
85.0,四川,宜宾,6.16,1.87,PM2.5
86.0,江苏,连云港,6.14,1.77,PM2.5
87.0,江苏,扬州,6.12,1.88,PM2.5
88.0,甘肃,兰州,6.09,1.68,PM10
89.0,宁夏,银川,6.04,1.47,PM10
90.0,湖南,长沙,6.04,2.13,PM2.5
91.0,浙江,湖州,6.04,1.8,PM2.5
92.0,江苏,淮安,6.03,1.96,PM2.5
93.0,山东,青岛,6.01,1.57,PM2.5
94.0,青海,西宁,5.98,1.74,PM2.5
95.0,江苏,泰州,5.96,2.07,PM2.5
96.0,浙江,杭州,5.95,1.75,PM2.5
97.0,江西,萍乡,5.87,1.67,PM10
98.0,浙江,金华,5.87,1.84,PM2.5
99.0,安徽,马鞍山,5.83,1.94,PM2.5
100.0,浙江,嘉兴,5.8,1.61,PM2.5
101.0,重庆,重庆,5.78,1.8,PM2.5
102.0,安徽,合肥,5.75,2.28,PM2.5
103.0,江苏,南通,5.74,1.76,PM2.5
104.0,湖北,黄石,5.67,2.04,PM10
105.0,四川,德阳,5.67,1.76,PM2.5
106.0,山西,大同,5.66,1.33,PM10
107.0,湖南,益阳,5.65,2.57,PM2.5
108.0,湖北,荆门,5.63,2.53,PM10
109.0,湖南,岳阳,5.61,1.8,PM10
110.0,四川,泸州,5.6,1.84,PM2.5
111.0,四川,南充,5.56,1.98,PM2.5
112.0,湖南,常德,5.55,1.95,PM2.5
113.0,广东,肇庆,5.5,1.55,PM2.5
114.0,四川,自贡,5.48,2.07,PM2.5
115.0,安徽,芜湖,5.37,1.93,PM2.5
116.0,广东,佛山,5.24,1.27,PM2.5
117.0,广东,广州,5.19,1.36,PM2.5
118.0,辽宁,大连,5.19,1.49,PM2.5
119.0,上海,上海,5.19,1.5,PM2.5
120.0,浙江,温州,5.18,1.32,PM2.5
121.0,浙江,衢州,5.18,1.6,PM2.5
122.0,四川,绵阳,5.16,1.58,PM2.5
123.0,江苏,盐城,5.16,1.67,PM2.5
124.0,河北,张家口,5.12,1.07,PM10
125.0,湖北,孝感,5.06,1.87,PM10
126.0,广东,东莞,5.04,1.26,PM2.5
127.0,江西,南昌,4.96,1.46,PM2.5
128.0,浙江,宁波,4.96,1.31,PM2.5
129.0,广西,南宁,4.91,1.38,PM2.5
130.0,四川,雅安,4.87,1.77,PM2.5
131.0,广东,江门,4.77,1.25,PM2.5
132.0,江西,九江,4.67,1.22,PM2.5
133.0,山西,朔州,4.64,2.0,SO2
134.0,湖北,鄂州,4.6,1.67,PM10
135.0,安徽,黄山,4.52,1.71,PM2.5
136.0,浙江,丽水,4.48,1.26,PM2.5
137.0,浙江,台州,4.42,1.32,PM2.5
138.0,安徽,宣城,4.32,1.29,PM10
139.0,湖北,黄冈,4.3,1.63,PM10
140.0,广东,中山,4.3,1.08,PM2.5
141.0,贵州,贵阳,4.29,1.3,PM2.5
142.0,安徽,池州,4.28,1.67,PM10
143.0,山西,运城,4.2,0.91,PM2.5
144.0,云南,昆明,4.07,0.93,PM2.5
145.0,江西,新余,4.04,1.05,SO2
146.0,广东,珠海,4.03,0.97,PM2.5
147.0,广东,惠州,3.99,1.0,PM2.5
148.0,福建,福州,3.96,0.91,PM2.5
149.0,福建,厦门,3.93,1.02,PM2.5
150.0,山西,忻州,3.93,1.25,SO2
151.0,安徽,亳州,3.88,1.2,NO2
152.0,广东,深圳,3.79,0.94,PM2.5
153.0,安徽,宿州,3.55,1.03,NO2
154.0,安徽,蚌埠,3.52,1.33,PM10
155.0,西藏,拉萨,3.45,0.84,O3
156.0,山西,晋中,3.36,0.9,SO2
157.0,安徽,铜陵,3.36,0.88,NO2
158.0,浙江,舟山,3.33,0.87,O3
159.0,安徽,阜阳,3.32,1.05,NO2
160.0,山西,晋城,3.19,0.9,PM10
161.0,安徽,六安,3.13,1.36,PM10
162.0,安徽,滁州,3.11,1.37,PM10
163.0,辽宁,朝阳,2.85,1.13,PM10
164.0,安徽,淮北,2.82,1.0,PM10
165.0,安徽,安庆,2.74,1.0,PM10
166.0,海南,海口,2.6,0.66,O3
167.0,安徽,淮南,2.23,0.6,PM10
168.0,湖北,襄阳,0.0,0.0,
降序,省份,城市,综合指数,最大指数,首要污染物
1.0,河北,保定,10.37,3.02,PM2.5
2.0,河北,邢台,9.9,2.84,PM2.5
3.0,山东,淄博,9.67,2.5,PM2.5
4.0,河南,安阳,9.15,2.63,PM2.5
5.0,河北,衡水,9.06,2.82,PM2.5
6.0,山东,德州,9.05,2.87,PM2.5
7.0,河北,唐山,8.92,2.4,PM2.5
8.0,河南,新乡,8.87,2.67,PM2.5
9.0,河南,郑州,8.79,2.74,PM2.5
10.0,河北,邯郸,8.73,2.59,PM2.5
11.0,山东,济南,8.71,2.57,PM2.5
12.0,山东,聊城,8.66,2.81,PM2.5
13.0,河南,焦作,8.64,2.46,PM2.5
14.0,河北,石家庄,8.6,2.51,PM2.5
15.0,山东,菏泽,8.27,2.69,PM2.5
16.0,河南,平顶山,8.07,2.52,PM2.5
17.0,山东,枣庄,8.01,2.48,PM2.5
18.0,山东,济宁,8.01,2.31,PM2.5
19.0,山东,临沂,7.92,2.21,PM2.5
20.0,河北,廊坊,7.85,2.42,PM2.5
21.0,山东,东营,7.85,2.27,PM2.5
22.0,山东,滨州,7.83,2.26,PM2.5
23.0,河南,许昌,7.62,2.33,PM2.5
24.0,河南,濮阳,7.48,2.32,PM2.5
25.0,河南,三门峡,7.47,2.13,PM2.5
26.0,河南,鹤壁,7.41,2.01,PM2.5
27.0,北京,北京,7.41,2.29,PM2.5
28.0,辽宁,沈阳,7.34,2.03,PM2.5
